Вопрос;Класс;;;;;;;;;;;;;;;;;;;;;;;;
Перечислите  id студентов которые зарегистрировались на курс статистики отсортируя по дате регистрации;1;;;;;;;;;;;;;;;;;;;;;;;;
Перечислите  id студентов которые посетили курс статистики отсортируя по дате посещения;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента, посетившего больше всего курсов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента, зарегистрировавашегося на наибольшее количество курсов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у курса, который посетило больше всего студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у курса, который посетило меньше всего студентов (но не меньше 1 человека)?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько человек из города Lake Devon?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько людей живут по одному адресу?;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите полные имена всех студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество студентов, которое зарегистрировалось на любой из курсов, но не посетило его;1;;;;;;;;;;;;;;;;;;;;;;;;
"Какие id у людей, номер которых начинается с ""+7800""?";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести id людей, номер которых начинается с ""+7800""";1;;;;;;;;;;;;;;;;;;;;;;;;
"Сколько номеров, начинающихся на ""+7800"", есть в базе данных?";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество номеров, начинающихся на ""+7800""";1;;;;;;;;;;;;;;;;;;;;;;;;
"У скольких человек email оканчивается на "".org""?";1;;;;;;;;;;;;;;;;;;;;;;;;
"У скольких человек email оканчивается на "".com""?";1;;;;;;;;;;;;;;;;;;;;;;;;
"У скольких человек email оканчивается на "".net""?";1;;;;;;;;;;;;;;;;;;;;;;;;
"У скольких человек email оканчивается на "".ru""?";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество адресов электронной почты, заканчивающихся на "".org""?";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество адресов электронной почты, заканчивающихся на "".com""?";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество адресов электронной почты, заканчивающихся на "".net""?";1;;;;;;;;;;;;;;;;;;;;;;;;
"Вывести количество адресов электронной почты, заканчивающихся на "".ru""?";1;;;;;;;;;;;;;;;;;;;;;;;;
У скольких человек пароль длиннее 16 символов?;1;;;;;;;;;;;;;;;;;;;;;;;;
У скольких человек пароль длиннее 32 символов?;1;;;;;;;;;;;;;;;;;;;;;;;;
У скольких человек логин длиннее 3 символов?;1;;;;;;;;;;;;;;;;;;;;;;;;
У скольких человек фамилия Hartmann?;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите список id всех курсов, на которые зарегистрированы студенты, и количество студентов на каждом курсе, отсортированный по убыванию количества студентов:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите всех людей с одинаковыми именами (полное совпадение first_name и last_name):;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите список уникальных адресов (line_1) из таблицы Addresses:;1;;;;;;;;;;;;;;;;;;;;;;;;
Выберите id студентов, которые не посетили ни один курс;1;;;;;;;;;;;;;;;;;;;;;;;;
Выберите id студентов, которые не зарегистрировались ни на один курс;1;;;;;;;;;;;;;;;;;;;;;;;;
У скольких кандидатов оценка за вступительные испытания 5?;1;;;;;;;;;;;;;;;;;;;;;;;;
У скольких кандидатов оценка за вступительные испытания 4?;1;;;;;;;;;;;;;;;;;;;;;;;;
У скольких кандидатов оценка за вступительные испытания 3?;1;;;;;;;;;;;;;;;;;;;;;;;;
У скольких кандидатов оценка за вступительные испытания 2?;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название штата/региона, в котором находится больше всего адресов;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название штата/региона, в котором находится меньше всего адресов;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название штата/региона, в котором находится наибольшее количество адресов;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название штата/региона, в котором находится наименьшее количество адресов;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название страны, в которой находится больше всего адресов ;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название страны, в которой находится меньше всего адресов;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название города, в котором находится больше всего адресов;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название города, в котором находится меньше всего адресов;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название страны, в которой находится наибольшее количество адресов ;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название страны, в которой находится наименьшее количество адресов;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название города, в котором находится наибольшее количество адресов ;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите название города, в котором находится наименьшее количество адресов;1;;;;;;;;;;;;;;;;;;;;;;;;
Выберите id студентов, которые посещали курс с id 301;1;;;;;;;;;;;;;;;;;;;;;;;;
Выберите id студентов, которые посещали курс с id 302;1;;;;;;;;;;;;;;;;;;;;;;;;
Выберите id студентов, которые посещали курс с id 303;1;;;;;;;;;;;;;;;;;;;;;;;;
Выберите id студентов, которые посещали курс с id 305;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите id курсов, на которые записан студент с id 111;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите id курсов, на которые записан  студент с id 121;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите id курсов, на которые записан  студент с id 141;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите id курсов, на которые записан студент с id 171;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите id курсов, на которые записан студент с id 161;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите id курсов, на которые записан студент с id 151;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента с полем student_details равным Marry?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента с полем student_details равным Martin?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента с полем student_details равным Barry?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента с полем student_details равным Nikhil?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента с полем student_details равным John?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента с полем student_details равным Sarah?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента с полем student_details равным Joe?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента с полем student_details равным Nancy?;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите список candidate_details поступивших кандидатов;1;;;;;;;;;;;;;;;;;;;;;;;;
"Получите список id студентов, зарегистрированных на курс ""statistics""";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получите список id студентов, зарегистрированных на курс ""English""";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получите список id студентов, зарегистрированных на курс ""French""";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получите список id студентов, зарегистрированных на курс ""data structure""";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получите список id студентов, не зарегистрированных на курс ""statistics""";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получите список id студентов, не зарегистрированных на курс ""English""";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получите список id студентов, не зарегистрированных на курс ""French""";1;;;;;;;;;;;;;;;;;;;;;;;;
"Получите список id студентов, не зарегистрированных на курс ""data structure""";1;;;;;;;;;;;;;;;;;;;;;;;;
Получите id курсов, на которые зарегистрировано более 10 студентов:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите id людей, у которых в адресах не указан почтовый индекс (zip_postcode):;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите id студентов, у которых нет записей в таблице Student_Course_Registrations:;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите список id курсов, на которые студент был зарегистрирован, но не посещал (если такие есть):;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, на которые зарегистрированы все студенты.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, на которые не зарегистрирован ни один студент.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, которые посетили все студенты.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, которые не посетил ни один студент.;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, на которые зарегистрировано 0 студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, которые посетило 0 студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, которые посетило больше 2 студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, которые посетило меньше 10 студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, на которые зарегистрировано минимум 7 студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, на которые зарегистрировано не меньше 7 студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, которые посетило максимум 6 студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id курсов, которые посетило не более 6 студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Каковы id курсов, на которые зарегистрированы все студенты?;1;;;;;;;;;;;;;;;;;;;;;;;;
Каковы id курсов, на которые не зарегистрирован ни один студент?;1;;;;;;;;;;;;;;;;;;;;;;;;
Каковы id курсов, которые посетили все студенты?;1;;;;;;;;;;;;;;;;;;;;;;;;
Каковы id курсов, которые не посетил ни один студент?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у курсов, на которые зарегистрировано 0 студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у курсов, которые посетило 0 студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у курсов, которые посетило больше 2 студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у курсов, которые посетило меньше 10 студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у курсов, на которые зарегистрировано минимум 7 студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у курсов, на которые зарегистрировано не меньше 7 студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у курсов, которые посетило максимум 6 студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у курсов, которые посетило не более 6 студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех кандидатов, которые прошли вступительные испытания (assessment_outcome_code = 'Pass');1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех кандидатов, которые не прошли вступительные испытания (assessment_outcome_code = 'Fail');1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id кандидата, который последним успешно прошёл вступительные испытания (assessment_outcome_code = 'Pass');1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id кандидата, который последним не прошёл вступительные испытания (assessment_outcome_code = 'Fail');1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id кандидата, который первым успешно прошёл вступительные испытания (assessment_outcome_code = 'Pass');1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id кандидата, который первым не прошёл вступительные испытания (assessment_outcome_code = 'Fail');1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у кандидата, который последним успешно прошёл вступительные испытания (assessment_outcome_code = 'Pass')?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id кандидата, который последним не прошёл вступительные испытания (assessment_outcome_code = 'Fail')?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id кандидата, который первым успешно прошёл вступительные испытания (assessment_outcome_code = 'Pass')?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id кандидата, который первым не прошёл вступительные испытания (assessment_outcome_code = 'Fail')?;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из США, которые посетили хоть один курс:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из России, которые посетили хоть один курс:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из Казахстана, которые посетили хоть один курс:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из США, которые посетили все курсы:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из России, которые посетили все курсы:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из Казахстана, которые посетили все курсы:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из США, которые посетили любой из курсов:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из России, которые посетили любой из курсов:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из Казахстана, которые посетили любой из курсов:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из США, которые посетили каждый курс:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из России, которые посетили каждый курс:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id всех студентов из Казахстана, которые посетили каждый курс:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id студентов, у которых есть записи о посещениях всех курсов:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id студентов, которые посетили все курсы:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id студентов, у которых есть записи о регистрации на все курсы:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти id студентов, которые зарегистрировались на все курсы:;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у студентов, у которых есть записи о посещениях всех курсов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у студентов, которые посетили все курсы?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у студентов, у которых есть записи о регистрации на все курсы?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у студентов, которые зарегистрировались на все курсы?;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите список id курсов, на которые зарегистрированы студенты, проживающие в Москве:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите список id курсов, на которые зарегистрированы студенты, проживающие в Лондоне:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите список id курсов, на которые зарегистрированы студенты, проживающие в России:;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите список id курсов, на которые зарегистрированы студенты, проживающие в США:;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студентов, у которых длина пароля меньше 10 символов;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студентов, у которых длина пароля больше 4, но меньше 12 символов;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студентов, у которых длина пароля больше или равна 9 символам;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студентов, у которых длина пароля равна 11 символам;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студента с самым коротким паролем;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студента с наиболее коротким паролем;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студента с логином наименьшей длины;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студента с самым длинным паролем;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студента с наиболее длинным паролем;1;;;;;;;;;;;;;;;;;;;;;;;;
Получите student_id, student_details и фамилию студента с логином наибольшей длины;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько кандидатов не прошло ассессмент (asessment_outcome_code = 'Fail');1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько кандидатов прошло ассессмент (asessment_outcome_code = 'Pass');1;;;;;;;;;;;;;;;;;;;;;;;;
Какие курсы посещены студентом с id 121?;1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите имена и фамилии людей, проживающих в городе 'Moscow';1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите имена и фамилии людей, проживающих в городе 'New Alta';1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите id студентов, проживающих в городе 'Moscow';1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите id студентов, проживающих в городе 'New Alta';1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите имена и фамилии людей, проживающих в России (страна);1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите имена и фамилии людей, проживающих в США (страна);1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите id студентов, проживающих в России (страна);1;;;;;;;;;;;;;;;;;;;;;;;;
Выведите id студентов, проживающих в США (страна);1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список названий всех стран из адресов в порядке возрастания длины их названия;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести список названий всех городов из адресов в порядке убывания длины их названия;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести самое длинное название города;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести название города наибольшей длины;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести самое короткое название страны;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести название страны наименьшей длины;1;;;;;;;;;;;;;;;;;;;;;;;;
Какое самое длинное название города находится в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какое название города имеет наибольшую длину в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какое самое короткое название страны находится в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какое название страны имеет наименьшую длину в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести самую длинную фамилию студента;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести фамилию студента наибольшей длины;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести самое короткое имя студента;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести имя студента наименьшей длины;1;;;;;;;;;;;;;;;;;;;;;;;;
Какая самая длинная фамилия человека находится в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какая фамилию человека в базе данных имеет наибольшую длину?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какое самое короткое имя человека есть в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какое имя человека в базе данных имеет наименьшую длину?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержание таблицы Addresses;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержание таблицы Candidate_Assessments;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержание таблицы Candidates;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержание таблицы Courses;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержание таблицы People;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержание таблицы People_Addresses;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержание таблицы Student_Course_Attendance;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержание таблицы Student_Course_Registrations;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести содержание таблицы Students;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько студентов зарегистрировано в системе?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько людей зарегистрировано в системе?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько курсов зарегистрировано в системе?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько адресов зарегистрировано в системе?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько поступающих зарегистрировано в системе?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько кандидатов на поступление зарегистрировано в системе?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести общее количество студентов в базе данных;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести общее количество курсов в базе данных;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести общее количество людей в базе данных;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести общее количество адресов в базе данных;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести общее количество поступающих в базе данных;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести общее количество кандидатов на поступление в базе данных;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего студентов в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего курсов в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего людей в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего адресов в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего поступающих в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько всего кандидатов на поступление в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести всю информацию о курсах, не имеющих описания;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести всю информацию о курсах без описания;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести всю информацию о курсах, у которых нет описания;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести всю информацию о людях, у которых нет связи с адресами в базе данных;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести всю информацию о людях, у которых нет адреса в базе данных;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести всю информацию о людях, которые нет связаны с адресами в базе данных;1;;;;;;;;;;;;;;;;;;;;;;;;
Какая фамилия у человека с идентификатором 5?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какая фамилию носит человек с идентификатором 5?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какая фамилия у студента с идентификатором 5?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какая фамилию носит студент с идентификатором 5?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести фамилию человека с идентификатором 5;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти фамилию человека с идентификатором 5;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести фамилию студента с идентификатором 5;1;;;;;;;;;;;;;;;;;;;;;;;;
Найти фамилию студента с идентификатором 5;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько людей в базе данных не являются студентами?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество человек в базе данных, не являющихся студентами;1;;;;;;;;;;;;;;;;;;;;;;;;
Какова средняя длина названия курса?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести среднюю длину названия курса;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько адресов у человека с именем и фамилией Shannon Senger?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество адресов человека с именем и фамилией Shannon Senger;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько адресов у человека с id 181?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести количество адресов человека id 181;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести названия топ-5 курсов с наибольшим количеством зарегистрировавшихся студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести названия топ-5 курсов с наибольшим количеством посетивших студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести названия 5 курсов с наименьшим количеством зарегистрировавшихся студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести названия  5 курсов с наименьшим количеством посетивших студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести названия топ-5 курсов по регистрации;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести названия топ-5 курсов по посещаемости;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько уникальных стран находится в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько уникальных городов находится в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id в таблице Addresses;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id в таблице Students;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id в таблице Candidates;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id в таблице Courses;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id в таблице People;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой самый большой id есть в таблице Addresses?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой самый большой id есть в таблице Students?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой самый большой id есть в таблице Candidates?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой самый большой id есть в таблице Courses?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой самый большой id есть в таблице People?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id и наибольший id в таблице Addresses;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id и наибольший id в таблице Students;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id и наибольший id в таблице Candidates;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id и наибольший id в таблице Courses;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести наименьший id и наибольший id в таблице People;1;;;;;;;;;;;;;;;;;;;;;;;;
